Timestamp,Ticker,Price,Volume
2024-12-30 09:30:00,TODD,404.69,394
2024-12-30 09:30:00.001000,WOLF,491.94,432
2024-12-30 09:30:00.002000,LEEL,491.51,335
2024-12-30 09:30:00.003000,ACEV,474.87,604
2024-12-30 09:30:00.004000,ACEV,223.5,548
2024-12-30 09:30:00.005000,MILL,336.56,528
2024-12-30 09:30:00.006000,MONT,417.03,573
2024-12-30 09:30:00.007000,GAYV,457.2,771
2024-12-30 09:30:00.008000,HANC,293.31,254
2024-12-30 09:30:00.009000,BEST,486.4,672
2024-12-30 09:30:00.010000,POTT,83.15,870
2024-12-30 09:30:00.011000,GARC,424.67,489
2024-12-30 09:30:00.012000,HEBE,165.98,855
2024-12-30 09:30:00.013000,LAWS,38.24,670
2024-12-30 09:30:00.014000,ROBE,138.03,879
2024-12-30 09:30:00.015000,GEOR,375.1,218
2024-12-30 09:30:00.016000,KENN,353.62,340
2024-12-30 09:30:00.017000,JACO,320.17,234
2024-12-30 09:30:00.018000,WATT,71.62,703
2024-12-30 09:30:00.019000,GOUL,47.05,824
2024-12-30 09:30:00.020000,SPEN,99.3,677
2024-12-30 09:30:00.021000,TURN,5.69,732
2024-12-30 09:30:00.022000,EVER,38.53,693
2024-12-30 09:30:00.023000,WARD,111.2,916
2024-12-30 09:30:00.024000,BREW,424.58,254
2024-12-30 09:30:00.025000,LYON,63.41,851
2024-12-30 09:30:00.026000,GREE,118.29,822
2024-12-30 09:30:00.027000,FREE,426.72,436
